,Duration (in seconds),Age,Gender,Residential country,Student?,TPU experience
1788,254,22-24,Man,Nigeria,Yes,
1789,381,35-39,Man,India,No,2-5 times
1790,745,55-59,Man,Argentina,Yes,
1791,6147,25-29,Man,Indonesia,No,Never
1792,160,18-21,Woman,China,Yes,
1793,289,22-24,Woman,India,Yes,
1794,577,22-24,Woman,India,Yes,
1795,317,45-49,Man,Other,Yes,
1796,375,25-29,Man,India,No,
1797,249,22-24,Woman,United States of America,No,
1798,162,22-24,Woman,Nigeria,Yes,
1799,200,18-21,Woman,India,Yes,
1800,307,60-69,Man,United States of America,Yes,
1801,190,22-24,Woman,India,No,
1802,1170,35-39,Man,India,No,Never
1803,998,45-49,Man,Other,No,Once
1804,385,22-24,Man,Indonesia,Yes,
1805,147,50-54,Woman,United States of America,No,
1806,297,18-21,Woman,India,Yes,
1807,7615,25-29,Man,India,No,2-5 times
1808,715,22-24,Man,Other,Yes,
1809,184,22-24,Man,India,No,
1810,306,40-44,Woman,United States of America,No,
1811,951,25-29,Man,India,No,2-5 times
1812,292,45-49,Woman,United States of America,No,
1813,256,25-29,Woman,India,Yes,
1814,738,50-54,Man,France,No,
1815,497,35-39,Man,India,No,
1816,1013,40-44,Man,Other,No,2-5 times
1817,485,35-39,Man,United States of America,Yes,
1818,133,25-29,Woman,United States of America,Yes,
1819,1440,35-39,Man,India,No,2-5 times
1820,659,22-24,Man,India,No,
1821,495,40-44,Man,Germany,No,Never
1822,229,30-34,Man,India,No,
1823,281,30-34,Woman,Other,Yes,
1824,625,40-44,Man,Pakistan,Yes,
1825,490,25-29,Man,India,No,More than 25 times
1826,1857,22-24,Man,India,Yes,
1827,591,25-29,Woman,India,Yes,
1828,870,18-21,Woman,India,Yes,
1829,209,22-24,Man,India,Yes,
1830,514,18-21,Man,India,Yes,
1831,257,45-49,Prefer not to say,United Kingdom of Great Britain and Northern Ireland,Yes,
1832,329,40-44,Man,India,Yes,
1833,1790,22-24,Woman,United Kingdom of Great Britain and Northern Ireland,No,
1834,283,40-44,Man,India,No,
1835,1246,35-39,Man,Mexico,No,Never
1836,621,18-21,Woman,India,Yes,
1837,809,25-29,Man,India,No,
1838,787,50-54,Man,United States of America,No,Never
1839,861,22-24,Man,India,No,Never
1840,265,35-39,Man,Russia,No,
1841,429,35-39,Man,Ecuador,Yes,
1842,777,40-44,Man,Bangladesh,No,Never
1843,339,22-24,Man,India,No,
1844,343,40-44,Man,Japan,No,
1845,1941,35-39,Man,United Kingdom of Great Britain and Northern Ireland,No,Never
1846,492,30-34,Man,Ethiopia,Yes,
1847,328,35-39,Woman,India,No,
1848,415,22-24,Man,India,Yes,
1849,447,45-49,Man,United States of America,No,2-5 times
1850,328,55-59,Man,United States of America,No,
1851,1382,40-44,Man,Turkey,No,Never
1852,734,30-34,Man,India,No,
1853,851,22-24,Man,India,No,
1854,305,40-44,Man,Other,No,
1855,255,35-39,Man,United Kingdom of Great Britain and Northern Ireland,No,
1856,330,35-39,Man,China,Yes,
1857,288,25-29,Man,Indonesia,Yes,
1858,807,35-39,Man,India,No,
1859,446,55-59,Man,United States of America,Yes,
1860,247,22-24,Man,India,Yes,
1861,139,25-29,Man,United States of America,Yes,
1862,226,22-24,Man,Egypt,Yes,
1863,768,22-24,Man,India,No,2-5 times
1864,552,30-34,Woman,Kenya,No,
1865,997,55-59,Man,India,No,Never
1866,1547,25-29,Man,Nigeria,Yes,
1867,345,22-24,Woman,United States of America,Yes,
1868,1143,30-34,Man,India,No,Never
1869,414,30-34,Man,Nepal,Yes,
1870,222,18-21,Man,Nigeria,Yes,
1871,1151,18-21,Man,India,Yes,
1872,413,40-44,Woman,Spain,Yes,
1873,301,35-39,Woman,India,No,
1874,2355,35-39,Man,Russia,No,
1875,369,50-54,Man,India,No,
1876,310,35-39,Man,Brazil,Yes,
1877,176,18-21,Man,India,Yes,
1878,638,22-24,Man,India,Yes,
1879,923,22-24,Woman,India,Yes,
1880,512,30-34,Man,Other,Yes,
1881,238,35-39,Man,Russia,No,
1882,825,45-49,Man,Argentina,No,Never
1883,7739,40-44,Man,China,No,Never
1884,906,60-69,Man,Japan,No,Never
1885,1054839,25-29,Woman,Hong Kong (S.A.R.),No,Never
1886,785,55-59,Man,United States of America,No,Never
1887,728,22-24,Man,Kenya,Yes,
1888,489,22-24,Man,Other,Yes,
1889,17046,18-21,Man,Brazil,No,Never
1890,622,18-21,Man,South Africa,No,Never
1891,1147,50-54,Man,Japan,No,2-5 times
1892,244,40-44,Man,India,No,
1893,308,25-29,Man,Brazil,Yes,
1894,591,40-44,Man,Pakistan,No,
1895,4263,30-34,Man,India,Yes,
1896,293,18-21,Man,India,Yes,
1897,509,25-29,Man,Nigeria,Yes,
1898,716,30-34,Man,South Korea,No,
1899,404,18-21,Man,Indonesia,Yes,
1900,4778,40-44,Man,South Korea,Yes,
1901,261,45-49,Man,United States of America,Yes,
1902,597,35-39,Man,Czech Republic,No,Never
1903,238,25-29,Man,United States of America,No,
1904,323,18-21,Man,India,Yes,
1905,122,30-34,Man,United States of America,Yes,
1906,221,25-29,Man,India,No,
1907,419,22-24,Man,Mexico,No,Never
1908,9585,18-21,Man,Turkey,Yes,
1909,576,30-34,Man,United States of America,Yes,
1910,358,18-21,Man,India,Yes,
1911,280,30-34,Man,Brazil,Yes,
1912,509,25-29,Woman,Nigeria,No,Never
1913,314,18-21,Man,Japan,Yes,
1914,331,30-34,Man,Nigeria,Yes,
1915,424,30-34,Man,United States of America,No,
1916,472,30-34,Man,Germany,No,Never
1917,2357,22-24,Man,India,No,
1918,1378,35-39,Woman,United States of America,No,Never
1919,764,25-29,Man,Taiwan,Yes,
1920,161,25-29,Man,India,Yes,
1921,304,22-24,Woman,Other,Yes,
1922,1316,50-54,Man,United States of America,No,More than 25 times
1923,984,35-39,Man,Colombia,No,Never
1924,1545,45-49,Man,India,No,6-25 times
1925,302,40-44,Man,Malaysia,No,
1926,169,35-39,Man,Mexico,Yes,
1927,648,40-44,Man,Japan,No,More than 25 times
1928,241,18-21,Woman,India,No,
1929,357,30-34,Woman,Mexico,Yes,
1930,150,30-34,Woman,Turkey,Yes,
1931,271,18-21,Man,India,Yes,
1932,366,22-24,Man,Turkey,No,
1933,246,22-24,Man,India,Yes,
1934,1104,22-24,Man,India,No,2-5 times
1935,734,30-34,Woman,Chile,No,Never
1936,285,40-44,Man,Brazil,Yes,
1937,302,35-39,Woman,India,No,
1938,162319,22-24,Woman,Russia,No,Never
1939,434,22-24,Man,Nigeria,No,
1940,161,22-24,Man,Malaysia,Yes,
1941,176,18-21,Woman,India,Yes,
1942,221,22-24,Man,India,Yes,
1943,530,35-39,Man,United States of America,No,Never
1944,325,25-29,Man,India,Yes,
1945,272,35-39,Woman,India,No,
1946,406,25-29,Man,United States of America,No,
1947,212,22-24,Man,Israel,Yes,
1948,471,40-44,Man,Brazil,No,
1949,1309,30-34,Woman,France,Yes,
1950,378,40-44,Man,United States of America,Yes,
1951,169,22-24,Man,China,Yes,
1952,268,25-29,Man,United States of America,Yes,
1953,385,18-21,Man,India,Yes,
1954,340,25-29,Woman,Nigeria,No,
1955,794,25-29,Woman,Russia,No,
1956,398,22-24,Man,Bangladesh,Yes,
1957,828,25-29,Man,Netherlands,No,
1958,318,22-24,Man,India,No,
1959,506,30-34,Woman,India,No,Never
1960,193,22-24,Man,Brazil,Yes,
1961,1956,50-54,Man,United States of America,No,
1962,347,18-21,Man,India,Yes,
1963,988,22-24,Man,India,Yes,
1964,258,22-24,Man,Viet Nam,Yes,
1965,1650,18-21,Man,India,Yes,
1966,1863,22-24,Man,Nigeria,Yes,
1967,809,50-54,Man,Japan,No,
1968,357,30-34,Man,Other,No,
1969,126864,35-39,Man,India,No,
1970,324,22-24,Man,India,No,
1971,131,45-49,Man,United States of America,No,
1972,1220,30-34,Man,Other,No,Never
1973,166,35-39,Woman,Saudi Arabia,No,
1974,530,25-29,Man,United States of America,No,Never
1975,554,35-39,Man,Italy,No,
1976,78178,45-49,Man,Spain,No,
1977,1035,35-39,Man,Australia,No,
1978,385,55-59,Man,Romania,No,
1979,420,40-44,Man,Portugal,No,Once
1980,459,22-24,Man,Ethiopia,No,
1981,220,18-21,Man,Russia,Yes,
1982,14270,40-44,Man,Mexico,No,
1983,912,25-29,Man,Other,No,Never
1984,1086,22-24,Man,India,No,More than 25 times
1985,174,22-24,Woman,India,Yes,
1986,1015,50-54,Man,United States of America,No,2-5 times
1987,266,22-24,Man,India,No,
1988,208,25-29,Man,Other,Yes,
1989,245,22-24,Prefer not to say,United Kingdom of Great Britain and Northern Ireland,Yes,
1990,1017,30-34,Man,India,No,2-5 times
1991,1161,45-49,Man,France,No,
1992,954,55-59,Woman,India,No,6-25 times
1993,336,35-39,Woman,United States of America,No,
1994,330,30-34,Man,Colombia,Yes,
1995,1284,25-29,Woman,China,Yes,
1996,402,18-21,Man,China,Yes,
1997,700,25-29,Man,Bangladesh,Yes,
1998,357,25-29,Woman,Cameroon,Yes,
1999,400,25-29,Woman,India,Yes,
2000,390,45-49,Man,United States of America,Yes,
2001,3160,18-21,Woman,India,Yes,
2002,373,22-24,Man,Pakistan,Yes,
2003,146,18-21,Woman,India,Yes,
2004,204,18-21,Woman,India,Yes,
2005,1605,22-24,Man,Pakistan,Yes,
2006,615,35-39,Man,Other,No,
2007,445,18-21,Man,India,Yes,
2008,168,22-24,Man,United States of America,Yes,
2009,141,35-39,Man,Japan,No,
2010,137,25-29,Man,Japan,No,
2011,525,22-24,Man,India,No,
2012,180,22-24,Man,Turkey,Yes,
2013,720,25-29,Man,Russia,No,Never
2014,833,30-34,Man,Mexico,No,
2015,19432,18-21,Man,United States of America,Yes,
2016,4111,45-49,Man,United Kingdom of Great Britain and Northern Ireland,No,Never
2017,452,22-24,Man,India,Yes,
2018,423,40-44,Man,India,No,
2019,592,30-34,Man,Japan,No,
2020,501,30-34,Man,United States of America,No,Never
2021,145,18-21,Man,India,Yes,
2022,180345,35-39,Man,India,No,
2023,1905,30-34,Man,Pakistan,Yes,
2024,267,25-29,Man,India,No,
2025,283,35-39,Man,Turkey,Yes,
2026,610,40-44,Man,Brazil,No,
2027,888,22-24,Man,China,No,Never
2028,421,30-34,Man,Nigeria,Yes,
2029,505,35-39,Man,Other,No,
2030,719,30-34,Man,United States of America,No,2-5 times
2031,397,25-29,Man,United States of America,No,
2032,687,30-34,Man,Other,No,Once
2033,412,18-21,Man,India,Yes,
2034,282,25-29,Man,India,Yes,
2035,129,18-21,Man,India,No,
2036,616,50-54,Man,United States of America,No,2-5 times
2037,35432,35-39,Man,Russia,No,
2038,491,25-29,Man,South Korea,No,
2039,783,40-44,Woman,Argentina,Yes,
2040,503,25-29,Man,Russia,No,6-25 times
2041,687,22-24,Man,India,No,Never
2042,259,22-24,Man,Brazil,Yes,
2043,372,25-29,Man,Other,Yes,
2044,380,35-39,Man,Brazil,No,
2045,439,45-49,Man,Other,No,
2046,359,40-44,Man,Indonesia,No,
2047,737,70+,Man,United States of America,No,
2048,335,50-54,Man,Brazil,Yes,
2049,234,22-24,Man,Bangladesh,Yes,
2050,235,22-24,Man,Russia,Yes,
2051,577,50-54,Man,Philippines,No,
2052,317,30-34,Man,Sri Lanka,No,
2053,354,22-24,Man,India,No,
2054,339,18-21,Man,India,Yes,
2055,601,25-29,Man,India,No,Once
2056,416,25-29,Woman,Turkey,Yes,
2057,565,45-49,Man,Belgium,No,Never
2058,829,30-34,Man,India,No,Once
2059,205,18-21,Man,Viet Nam,Yes,
2060,168,18-21,Man,United States of America,Yes,
2061,1439,25-29,Man,India,No,
2062,219,18-21,Man,India,Yes,
2063,634,40-44,Woman,India,No,Never
2064,31138,40-44,Man,India,No,Never
2065,389,18-21,Woman,Indonesia,Yes,
2066,350,45-49,Man,Peru,Yes,
2067,202,18-21,Man,India,Yes,
2068,564,55-59,Woman,United States of America,No,More than 25 times
2069,127,22-24,Man,India,Yes,
2070,546,25-29,Man,Other,Yes,
2071,1333987,22-24,Man,India,No,
2072,282,50-54,Man,United States of America,Yes,
2073,696,70+,Man,United States of America,No,Never
2074,224,18-21,Man,India,Yes,
2075,372,22-24,Man,United States of America,Yes,
2076,300,50-54,Man,Other,No,
2077,628,25-29,Man,Japan,No,2-5 times
2078,256,22-24,Man,India,Yes,
2079,328,30-34,Man,Kenya,No,
2080,288,18-21,Woman,India,Yes,
2081,401,35-39,Man,Indonesia,Yes,
2082,358,25-29,Woman,India,No,
2083,845,25-29,Prefer not to say,India,Yes,
2084,2604,18-21,Man,Thailand,Yes,
2085,644,35-39,Man,Argentina,Yes,
2086,823,22-24,Man,India,No,
2087,598,22-24,Woman,Philippines,No,
2088,3425,18-21,Man,Nigeria,Yes,
2089,221,25-29,Man,India,Yes,
2090,173,30-34,Man,Other,No,
2091,1108,30-34,Man,"Iran, Islamic Republic of...",No,Never
2092,507,18-21,Man,India,Yes,
2093,3815,30-34,Man,India,No,
2094,475,25-29,Man,Cameroon,No,
2095,596,22-24,Man,Viet Nam,Yes,
2096,460,45-49,Man,United States of America,No,Never
2097,492,25-29,Man,India,No,More than 25 times
2098,478,25-29,Man,India,Yes,
2099,393,40-44,Woman,Kenya,No,
2100,454,30-34,Man,Brazil,No,Never
2101,280,18-21,Woman,India,Yes,
2102,469,35-39,Man,Other,No,
2103,381,22-24,Woman,India,Yes,
2104,189,22-24,Man,India,Yes,
2105,164,18-21,Man,India,Yes,
2106,474,45-49,Woman,Brazil,Yes,
2107,1366,22-24,Man,Ethiopia,No,2-5 times
2108,286,22-24,Woman,Other,Yes,
2109,1095,40-44,Man,India,No,More than 25 times
2110,369,18-21,Man,Morocco,Yes,
2111,155,25-29,Man,Germany,No,
2112,537,55-59,Man,France,No,2-5 times
2113,1206,30-34,Woman,Canada,No,
2114,217,25-29,Man,United Kingdom of Great Britain and Northern Ireland,No,
2115,416,25-29,Woman,United States of America,No,
2116,445,30-34,Man,Russia,No,
2117,515,40-44,Man,Argentina,Yes,
2118,389,25-29,Woman,India,Yes,
2119,358,45-49,Man,Canada,Yes,
2120,381,18-21,Man,India,Yes,
2121,922,25-29,Woman,Other,Yes,
2122,415,18-21,Woman,India,Yes,
2123,595,22-24,Man,Turkey,Yes,
2124,201,18-21,Woman,India,Yes,
2125,193,25-29,Man,India,Yes,
2126,209,18-21,Man,India,Yes,
2127,297,35-39,Woman,Other,No,
2128,189,18-21,Man,Nigeria,Yes,
2129,208,22-24,Man,India,Yes,
2130,2156,35-39,Man,Nigeria,Yes,
2131,398,30-34,Man,Russia,No,
2132,408,25-29,Man,India,Yes,
2133,162,25-29,Man,India,Yes,
2134,575,18-21,Man,India,Yes,
2135,238,22-24,Woman,Other,Yes,
2136,2901,25-29,Man,Nigeria,Yes,
2137,579,18-21,Man,Tunisia,Yes,
2138,434,22-24,Man,Malaysia,Yes,
2139,1926,60-69,Man,Japan,No,Never
2140,201,22-24,Man,France,Yes,
2141,146,25-29,Woman,Australia,Yes,
2142,278,25-29,Man,United States of America,Yes,
2143,137,18-21,Man,Nigeria,Yes,
2144,423,30-34,Man,Italy,No,
2145,468,18-21,Man,India,Yes,
2146,223,40-44,Woman,India,No,
2147,162,22-24,Man,South Korea,Yes,
2148,265,22-24,Man,India,Yes,
2149,372,22-24,Man,Zimbabwe,Yes,
2150,2423,25-29,Man,Kenya,No,Never
2151,306,55-59,Man,Other,No,
2152,37637,25-29,Man,Nigeria,Yes,
2153,422,18-21,Man,India,Yes,
2154,447,40-44,Man,India,No,
2155,382,50-54,Man,Hong Kong (S.A.R.),No,
2156,660,45-49,Man,Australia,No,Never
2157,646,40-44,Man,United States of America,No,Never
2158,692,50-54,Man,Brazil,No,Never
2159,359,50-54,Man,United States of America,No,
2160,1540,25-29,Woman,United States of America,No,2-5 times
2161,159,35-39,Man,France,No,
2162,784,35-39,Man,Turkey,No,More than 25 times
2163,331,25-29,Woman,Colombia,No,Never
2164,191,35-39,Man,United States of America,No,
2165,365,40-44,Man,United States of America,No,6-25 times
2166,269,30-34,Man,India,No,
2167,575,18-21,Man,India,Yes,
2168,398,18-21,Man,Nigeria,Yes,
2169,125,22-24,Woman,India,No,
2170,384,45-49,Man,Other,No,2-5 times
2171,3678,55-59,Man,United Kingdom of Great Britain and Northern Ireland,No,
2172,3209,22-24,Woman,Kenya,Yes,
2173,245,25-29,Man,South Korea,Yes,
2174,200,25-29,Woman,Argentina,Yes,
2175,310,18-21,Woman,India,Yes,
2176,340,45-49,Man,Indonesia,No,
2177,792,35-39,Man,India,No,Never
2178,17622,30-34,Man,Chile,Yes,
2179,174,35-39,Man,Brazil,No,
2180,9543,22-24,Man,United States of America,Yes,
2181,456,30-34,Man,Bangladesh,Yes,
2182,338,22-24,Man,Indonesia,Yes,
2183,548,30-34,Man,Turkey,No,
2184,188,18-21,Man,Egypt,Yes,
2185,401,22-24,Woman,Turkey,Yes,
2186,393,30-34,Man,Mexico,No,
2187,863,40-44,Man,India,No,2-5 times
2188,370,22-24,Man,India,No,
2189,723,25-29,Man,India,Yes,
2190,354,25-29,Man,India,No,
2191,426,25-29,Woman,Algeria,Yes,
2192,295,25-29,Man,India,Yes,
2193,580,35-39,Woman,"Iran, Islamic Republic of...",No,
2194,226,22-24,Woman,India,Yes,
2195,498,40-44,Woman,South Korea,No,
2196,1496,30-34,Man,South Africa,Yes,
2197,434,18-21,Man,Morocco,Yes,
2198,402,50-54,Man,Canada,No,Never
2199,294,18-21,Man,Other,No,Once
2200,121,18-21,Man,Peru,Yes,
2201,210,22-24,Man,India,Yes,
2202,291,22-24,Man,Bangladesh,Yes,
2203,297,30-34,Man,Mexico,Yes,
2204,172,25-29,Woman,Singapore,No,
2205,3160,30-34,Man,United States of America,No,
2206,4236,50-54,Man,United Kingdom of Great Britain and Northern Ireland,No,
2207,612,22-24,Man,India,No,6-25 times
2208,535,22-24,Man,India,No,
2209,478,18-21,Woman,Colombia,Yes,
2210,387,35-39,Man,Australia,No,
2211,231,18-21,Man,Turkey,Yes,
2212,364,22-24,Woman,United States of America,Yes,
2213,151,35-39,Man,Malaysia,No,
2214,557,25-29,Man,South Africa,Yes,
2215,124,22-24,Woman,Other,Yes,
2216,413,25-29,Woman,India,Yes,
2217,499,25-29,Man,Algeria,Yes,
2218,531,40-44,Man,Israel,No,
2219,514,45-49,Man,United Arab Emirates,No,2-5 times
2220,523,18-21,Man,India,Yes,
2221,1090,60-69,Man,United States of America,No,
2222,379,40-44,Man,Belgium,No,
2223,524,25-29,Woman,Zimbabwe,Yes,
2224,239,35-39,Man,Tunisia,Yes,
2225,287,22-24,Woman,India,Yes,
2226,728,40-44,Man,United States of America,Yes,
2227,420,22-24,Man,Brazil,Yes,
2228,180,18-21,Woman,India,Yes,
2229,192,18-21,Man,India,Yes,
2230,194,25-29,Woman,China,No,
2231,328,18-21,Man,India,Yes,
2232,259,30-34,Man,India,No,
2233,176,25-29,Man,Pakistan,Yes,
2234,329,22-24,Man,Nepal,Yes,
2235,187,55-59,Man,Other,Yes,
2236,436,18-21,Man,India,Yes,
2237,320,25-29,Man,Colombia,Yes,
2238,368,50-54,Man,India,No,
2239,177,22-24,Man,Egypt,Yes,
2240,129,18-21,Woman,India,Yes,
2241,276,22-24,Man,India,No,
2242,152,18-21,Woman,Kenya,Yes,
2243,685,18-21,Man,Indonesia,Yes,
2244,389,18-21,Man,India,Yes,
2245,325,25-29,Man,Other,No,
2246,265,35-39,Man,United States of America,Yes,
2247,167,30-34,Man,India,No,
2248,10004,25-29,Man,Egypt,Yes,
2249,217,18-21,Man,India,Yes,
2250,2379,22-24,Man,India,No,Once
2251,492,25-29,Man,United States of America,No,Never
2252,144,35-39,Woman,Chile,Yes,
2253,462,25-29,Man,Other,No,
2254,354,22-24,Woman,Portugal,Yes,
2255,307,22-24,Man,India,Yes,
2256,520,50-54,Man,United States of America,Yes,
2257,169,18-21,Man,India,Yes,
2258,242,18-21,Man,India,Yes,
2259,552,40-44,Man,United States of America,No,Never
2260,194,18-21,Man,Argentina,Yes,
2261,270,22-24,Man,Colombia,Yes,
2262,347,35-39,Man,United States of America,No,
2263,1272,22-24,Man,India,No,
2264,289,40-44,Man,Mexico,No,
2265,201,18-21,Man,India,Yes,
2266,1675,30-34,Woman,India,No,
2267,428,55-59,Woman,United States of America,No,Never
2268,740,18-21,Man,India,Yes,
2269,589,22-24,Man,India,No,
2270,244,25-29,Woman,Nigeria,Yes,
2271,863,35-39,Man,Pakistan,Yes,
2272,278,22-24,Man,India,Yes,
2273,1617,40-44,Man,India,No,Once
2274,443,30-34,Woman,United States of America,No,
2275,410,30-34,Man,India,No,
2276,941,30-34,Man,Germany,No,Never
2277,570,25-29,Man,India,No,Once
2278,314,22-24,Man,India,Yes,
2279,120,18-21,Man,Brazil,Yes,
2280,422,22-24,Man,India,Yes,
2281,93255,25-29,Man,Pakistan,Yes,
2282,820,60-69,Man,France,No,Never
2283,306,25-29,Man,India,Yes,
2284,196,30-34,Man,Brazil,Yes,
2285,423,25-29,Man,India,No,2-5 times
2286,280,22-24,Man,Other,Yes,
2287,1075,25-29,Woman,"Iran, Islamic Republic of...",Yes,
2288,187,35-39,Man,Brazil,Yes,
2289,719,35-39,Man,United Arab Emirates,No,
2290,885,25-29,Man,Sri Lanka,No,Never
2291,509,40-44,Woman,United States of America,No,
2292,482,22-24,Man,India,Yes,
2293,193,18-21,Man,Colombia,Yes,
2294,247,25-29,Man,India,No,
2295,257920,50-54,Man,Spain,No,6-25 times
2296,304,25-29,Man,Mexico,Yes,
2297,231,18-21,Woman,India,Yes,
2298,212,18-21,Man,India,Yes,
2299,8932,45-49,Man,United States of America,No,
2300,423,22-24,Man,India,No,
2301,800,55-59,Woman,Indonesia,No,
2302,151,22-24,Man,India,No,
2303,153,25-29,Man,India,No,
2304,170,35-39,Woman,United Kingdom of Great Britain and Northern Ireland,No,
2305,357,60-69,Woman,United States of America,Yes,
2306,279,18-21,Woman,Other,Yes,
2307,625,45-49,Man,Other,No,
2308,263,25-29,Man,India,Yes,
2309,185,22-24,Woman,India,Yes,
2310,264,18-21,Man,India,Yes,
2311,247,22-24,Man,India,Yes,
2312,236,18-21,Man,India,Yes,
2313,601,50-54,Man,Brazil,No,Never
2314,520,30-34,Man,India,No,Never
2315,651,40-44,Woman,India,No,Never
2316,636,22-24,Woman,India,Yes,
2317,146,22-24,Man,India,Yes,
2318,486,18-21,Prefer not to say,"Iran, Islamic Republic of...",Yes,
2319,421,22-24,Man,Indonesia,No,Once
2320,120,22-24,Man,United States of America,Yes,
2321,540,25-29,Man,China,No,Never
2322,221,45-49,Man,Portugal,Yes,
2323,442,25-29,Man,Egypt,No,2-5 times
2324,20281,22-24,Man,Taiwan,Yes,
2325,423,25-29,Man,Brazil,No,
2326,254,35-39,Man,Brazil,Yes,
2327,490,45-49,Man,Malaysia,No,
2328,1190,30-34,Man,India,No,
2329,3760,18-21,Man,India,Yes,
2330,262,18-21,Woman,India,Yes,
2331,423,35-39,Man,United States of America,No,
2332,656,25-29,Man,India,No,Never
2333,398,25-29,Man,India,Yes,
2334,1293,25-29,Man,Pakistan,No,
2335,559,50-54,Man,United States of America,No,Never
2336,8890,30-34,Man,India,Yes,
2337,339,22-24,Man,Turkey,Yes,
2338,5573,25-29,Man,Egypt,No,
2339,295,35-39,Woman,United States of America,No,
2340,324,30-34,Man,Mexico,No,
2341,348,40-44,Man,India,Yes,
2342,85184,30-34,Woman,Israel,No,
2343,568,50-54,Man,United States of America,No,
2344,354,25-29,Man,Egypt,No,
2345,424,22-24,Woman,Nigeria,Yes,
2346,215,18-21,Man,India,Yes,
2347,507,35-39,Man,United States of America,No,Once
2348,513,25-29,Man,Taiwan,No,
2349,617,22-24,Woman,India,No,Once
2350,962,35-39,Woman,India,No,
2351,517,30-34,Man,Other,No,
2352,363,25-29,Man,Brazil,No,Never
2353,190,22-24,Man,Viet Nam,Yes,
2354,648,18-21,Man,Morocco,Yes,
2355,545,60-69,Man,Japan,No,
2356,275,22-24,Man,India,No,
2357,3773,60-69,Man,Japan,No,Once
2358,143,25-29,Woman,India,Yes,
2359,264,18-21,Man,China,Yes,
2360,687,18-21,Woman,Nigeria,Yes,
2361,324,22-24,Man,India,Yes,
2362,503,25-29,Man,India,No,Never
2363,835,35-39,Woman,United States of America,Yes,
2364,310,25-29,Woman,India,No,
2365,431,45-49,Man,United States of America,No,2-5 times
2366,2151,30-34,Man,Pakistan,Yes,
2367,341,22-24,Man,India,No,
2368,168,25-29,Man,United States of America,Yes,
2369,163,25-29,Man,United States of America,Yes,
2370,313,22-24,Man,Russia,Yes,
2371,189,18-21,Woman,United States of America,Yes,
2372,838,40-44,Woman,Other,No,More than 25 times
2373,768,40-44,Man,Taiwan,No,Never
2374,342,22-24,Man,Pakistan,Yes,
2375,373,18-21,Woman,Viet Nam,Yes,
2376,501,50-54,Man,Canada,No,
2377,440,40-44,Man,Mexico,No,
2378,424,40-44,Man,Brazil,Yes,
2379,391,18-21,Man,Brazil,Yes,
2380,434,22-24,Man,India,No,
2381,610,25-29,Man,India,No,2-5 times
2382,596,45-49,Man,Spain,No,Once
2383,6017,22-24,Man,Kenya,No,
2384,601,22-24,Man,Pakistan,No,Once
2385,208,18-21,Man,India,Yes,
2386,193,22-24,Man,India,Yes,
2387,217,22-24,Woman,India,No,
2388,795,40-44,Man,United States of America,Yes,
2389,17997,35-39,Woman,Romania,No,
2390,745,40-44,Man,United States of America,Yes,
2391,163,25-29,Nonbinary,United States of America,No,
2392,13323,25-29,Man,India,Yes,
2393,693,40-44,Woman,Taiwan,No,
2394,321,22-24,Man,India,Yes,
2395,1209,30-34,Man,United Arab Emirates,No,
2396,2434,35-39,Man,United States of America,No,Once
2397,669,70+,Man,Germany,No,
2398,249,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Yes,
2399,553,40-44,Woman,India,No,
2400,372,18-21,Man,India,Yes,
2401,1007,18-21,Man,India,Yes,
2402,253,22-24,Woman,India,Yes,
2403,387,18-21,Man,India,Yes,
2404,369,55-59,Man,Pakistan,No,
2405,196,25-29,Man,India,Yes,
2406,415,45-49,Man,Pakistan,Yes,
2407,380,22-24,Prefer not to say,China,Yes,
2408,218,18-21,Man,India,Yes,
2409,273,22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Yes,
2410,656,35-39,Man,India,No,
2411,597,25-29,Man,Other,Yes,
2412,237,18-21,Man,India,Yes,
2413,201,25-29,Man,Ecuador,Yes,
2414,309,25-29,Man,India,No,
2415,682,25-29,Man,Other,No,
2416,595,18-21,Man,Kenya,Yes,
2417,225,35-39,Man,India,No,
2418,488,35-39,Man,Mexico,No,Once
2419,1261,25-29,Man,Brazil,Yes,
2420,261,25-29,Man,Bangladesh,Yes,
2421,518,25-29,Man,Thailand,No,
2422,1329,40-44,Man,Poland,No,2-5 times
2423,142,18-21,Man,China,Yes,
2424,469,40-44,Man,Argentina,No,
2425,1466,18-21,Man,Kenya,Yes,
2426,1038,25-29,Man,Nigeria,No,2-5 times
2427,739,30-34,Man,China,No,2-5 times
2428,383,35-39,Woman,India,No,
2429,549,22-24,Man,Egypt,No,2-5 times
2430,551,25-29,Man,United Kingdom of Great Britain and Northern Ireland,No,
2431,554,25-29,Man,India,No,
2432,564,35-39,Man,Singapore,No,2-5 times
2433,483,18-21,Woman,India,No,
2434,1385,25-29,Man,India,No,
2435,323,35-39,Prefer not to say,Australia,Yes,
2436,518,40-44,Man,United States of America,No,2-5 times
2437,189,45-49,Man,United Kingdom of Great Britain and Northern Ireland,Yes,
2438,163,50-54,Woman,United States of America,No,
2439,290,18-21,Man,Kenya,Yes,
2440,404,35-39,Man,Argentina,Yes,
2441,1417,45-49,Man,India,No,Never
2442,501,35-39,Woman,India,No,Never
2443,262,22-24,Man,India,Yes,
